icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
ae4ee6,SHARK73,,0.097,0.1,-104.815765,38.976517,ground,True,12.2,,,,,1200,False,0,0
ae4ed1,SHARK42,,1.383,0.7,-104.814034,38.97242,ground,True,0.0,,,,,1200,False,0,0
~27d539,,,2.362,2.4,-104.810486,38.966225,8300,False,494.3,108.03,,,9075.0,,False,0,0
ab0a92,RTY810,,0.363,0.2,-104.802429,40.584091,6850,False,102.3,309.45,-320.0,,7075.0,1200,False,0,0
a2baa4,PCH2,,0.979,0.1,-104.78148,41.153994,5925,False,105.5,275.44,832.0,,6250.0,5121,False,0,0
a9501e,N7CR,,0.517,0.0,-104.777925,39.036575,17150,False,230.9,164.94,150.0,,17550.0,2771,False,0,0
ae4ee2,SHARK69,,0.0,0.0,-104.77488,38.972076,8075,False,105.3,340.02,704.0,,8425.0,1200,False,0,0
ad552f,N9583Q,,0.26,0.1,-104.767822,38.93955,8675,False,160.9,353.94,-64.0,,8950.0,5157,False,0,0
a5e6c3,N48FF,,0.426,0.4,-104.760192,38.782104,7050,False,110.8,306.56,-320.0,,7350.0,0437,False,0,0
ae099c,PIKES470,,0.059,0.1,-104.731173,39.582321,7700,False,122.3,175.78,512.0,,7975.0,5142,False,0,0
adfc83,VANDY70,,1.808,0.5,-104.717209,38.822169,ground,True,0.0,,,,,3550,False,0,0
a69d86,GARMN11,,0.714,0.7,-104.716799,38.80624,ground,True,13.8,248.2,38.0,,6858.0,4667,False,0,0
a43bea,N372HB,,23.217,3.8,-104.713593,38.823309,ground,True,0.0,,,,,4616,False,0,0
a81034,N619AG,,3.362,3.2,-104.711212,38.823018,ground,True,0.0,,,,,1200,False,0,0
ad5e27,SWA1211,,4.765,1.0,-104.701248,38.80001,ground,True,0.0,,,,,0617,False,0,0
abbcc1,SWA1288,,0.206,0.0,-104.696167,39.900295,6325,False,190.1,1.51,1984.0,,6600.0,1410,False,0,0
aa76cb,SWA539,,0.225,0.0,-104.693665,39.979065,8525,False,260.0,1.1,1088.0,,8775.0,1423,False,0,0
acb336,N9171Q,,0.203,0.0,-104.685791,38.922745,7950,False,116.0,179.51,-704.0,,8225.0,4623,False,0,0
a25dcc,CXK461,,0.416,0.0,-104.685608,38.795099,6300,False,73.1,176.86,576.0,,6625.0,4620,False,0,0
a57796,UAL2421,,0.206,0.0,-104.684929,39.875839,ground,True,21.5,178.0,0.0,,,7264,False,0,0
a6b87a,SKW4682,,0.206,0.2,-104.682755,39.856862,ground,True,14.2,54.0,81.0,,,3403,False,0,0
aa25a6,SKW5195,,0.206,0.2,-104.680317,39.856693,ground,True,14.2,101.0,0.0,,,5126,False,0,0
a65dfa,N50917,,0.241,0.1,-104.679626,39.459958,8125,False,97.5,116.83,-512.0,,8400.0,1200,False,0,0
0d106e,AMX658,,0.206,0.2,-104.679003,39.856682,ground,True,13.8,115.0,0.0,,,3751,False,0,0
aa466f,SKW6429,,0.799,0.0,-104.675898,39.862141,ground,True,1.6,,,,,1426,False,0,0
a1435d,SWA4677,,0.765,0.7,-104.675705,39.863496,ground,True,0.0,,,,,3526,False,0,0
a2452f,UAL1013,,0.042,0.0,-104.675555,39.859886,ground,True,2.2,,,,,3264,False,0,0
ac98ac,SWA4023,,1.434,1.4,-104.675201,39.863531,ground,True,0.0,,,,,3267,False,0,0
